Gene	Gene Category
OG0025921	protein and non-coding
OG0025921	protein and non-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026523	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026637	protein-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026643	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
OG0026775	protein and non-coding
